Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom,BAB
1963-07-01,-0.67,0.0,-0.34,-0.01,0.16,0.01,-0.23,0.43421832048000003
1963-07-02,0.79,-0.26,0.26,-0.07,-0.2,0.01,0.44,-0.19578391252100003
1963-07-03,0.63,-0.17,-0.09,0.18,-0.34,0.01,0.38,-0.21342413103
1963-07-05,0.4,0.08,-0.27,0.09,-0.34,0.01,0.06,-0.19737227642600003
1963-07-08,-0.63,0.04,-0.18,-0.29,0.14,0.01,-0.45,0.430391708181
1963-07-09,0.45,0.0,0.09,0.14,-0.05,0.01,0.44,-0.273404566521
1963-07-10,-0.18,0.21,0.01,0.06,-0.08,0.01,0.16,-0.017022000532299998
1963-07-11,-0.16,0.15,-0.3,-0.07,0.05,0.01,-0.11,0.295399348363
1963-07-12,-0.12,0.01,-0.09,0.11,0.04,0.01,-0.17,0.129940865409
1963-07-15,-0.62,0.07,-0.02,0.16,-0.04,0.01,-0.24,0.322102377017
1963-07-16,-0.07,-0.08,0.14,-0.05,-0.08,0.01,0.12,-0.25340222418200004
1963-07-17,-0.33,-0.08,0.14,0.03,0.1,0.01,0.02,0.264862588134
1963-07-18,-0.54,0.26,0.07,-0.04,0.33,0.01,-0.02,0.14041782086
1963-07-19,-0.23,-0.06,-0.04,0.16,-0.3,0.01,-0.13,0.0728372671188
1963-07-22,-0.7,-0.1,-0.33,0.0,-0.11,0.01,-0.43,-0.09310609589560001
1963-07-23,0.01,-0.09,-0.19,0.04,-0.07,0.01,0.0,0.129394235313
1963-07-24,0.46,-0.11,-0.02,-0.11,-0.29,0.01,0.43,-0.169645457606
1963-07-25,-0.04,0.14,0.26,-0.15,0.16,0.01,0.07,0.16206734455500002
1963-07-26,0.35,-0.14,0.08,0.03,-0.08,0.01,0.27,-0.13235218412799998
1963-07-29,0.11,-0.17,0.25,0.07,-0.11,0.01,0.2,-0.0649659328486
1963-07-30,0.84,-0.29,-0.25,0.52,-0.41,0.01,0.52,-0.338661202882
1963-07-31,-0.13,0.12,-0.01,-0.15,0.34,0.01,0.01,0.313598298033
1963-08-01,-0.08,-0.13,-0.11,0.16,-0.01,0.01,-0.04,0.023368412562
1963-08-02,0.29,-0.14,0.16,-0.05,0.02,0.01,0.11,-0.0744952006335
1963-08-05,0.57,-0.42,0.16,0.04,0.1,0.01,0.17,-0.130734914825
1963-08-06,0.6,-0.33,0.25,0.01,-0.03,0.01,0.24,-0.105091841037
1963-08-07,-0.19,0.04,0.17,-0.2,0.15,0.01,0.1,0.143199777522
1963-08-08,0.14,-0.01,-0.25,0.28,-0.32,0.01,0.16,-0.0101774821753
1963-08-09,0.6,-0.09,-0.06,0.24,-0.16,0.01,0.16,-0.403548315786
1963-08-12,0.24,0.2,0.43,-0.12,0.34,0.01,-0.14,-0.259334770244
1963-08-13,0.27,-0.26,0.01,0.04,-0.03,0.01,0.05,0.20632925362399998
1963-08-14,0.29,-0.07,0.2,-0.19,0.04,0.01,-0.21,-0.380272636996
1963-08-15,0.43,-0.3,0.36,-0.19,-0.01,0.01,0.3,0.203538663553
1963-08-16,0.15,0.08,0.12,0.05,-0.19,0.01,0.18,-0.162112050015
1963-08-19,-0.05,-0.01,-0.09,-0.07,-0.06,0.01,0.3,0.34158013249200003
1963-08-20,-0.05,0.01,-0.24,0.02,0.1,0.01,0.07,0.132720675905
1963-08-21,-0.11,0.33,-0.12,-0.07,0.1,0.01,-0.12,-0.230971960427
1963-08-22,0.38,0.07,0.09,-0.08,-0.32,0.01,-0.4,-0.43396728403599993
1963-08-23,0.34,-0.01,0.09,0.07,-0.03,0.01,0.0,-0.09013337737129999
1963-08-26,0.18,-0.12,0.15,0.11,-0.21,0.01,-0.17,0.107031368385
1963-08-27,-0.44,0.1,-0.05,-0.02,0.14,0.01,0.14,0.6480245597900001
1963-08-28,0.77,0.08,0.43,0.13,0.2,0.01,0.32,-0.507397931963
1963-08-29,0.18,0.12,0.0,0.1,0.1,0.01,-0.49,-0.16055028398600002
1963-08-30,0.44,0.11,-0.06,0.11,-0.27,0.01,-0.15,-0.07752884989190001
1963-09-03,0.23,0.08,0.03,0.03,0.19,0.01,0.04,-0.11481131128099999
1963-09-04,-0.01,0.06,-0.07,-0.38,-0.04,0.01,-0.25,0.0459788179035
1963-09-05,0.47,-0.1,0.13,-0.08,0.04,0.01,0.08,-0.27220430482
1963-09-06,-0.27,-0.18,-0.01,0.12,-0.04,0.01,-0.16,0.326402900964
1963-09-09,-0.36,-0.25,-0.02,0.05,0.14,0.01,0.08,0.19822030548599998
1963-09-10,0.52,-0.17,0.42,0.06,-0.25,0.01,0.29,-0.481291417061
1963-09-11,0.24,-0.21,0.19,-0.06,0.32,0.01,0.02,0.22400372933600002
1963-09-12,-0.09,0.11,-0.12,-0.21,-0.12,0.01,0.1,-0.013364782919200001
1963-09-13,0.02,0.35,-0.17,-0.3,0.12,0.01,-0.08,-0.10557749911200001
1963-09-16,-0.16,0.15,0.18,-0.1,-0.4,0.01,0.44,0.135328116491
1963-09-17,0.03,-0.2,0.17,0.05,0.06,0.01,0.02,0.23935125906300003
1963-09-18,-0.43,0.11,-0.24,-0.16,-0.04,0.01,-0.09,0.190533433505
1963-09-19,0.52,-0.4,0.16,0.15,-0.02,0.01,-0.05,-0.174838831315
1963-09-20,0.04,-0.06,-0.01,0.11,-0.35,0.01,0.46,0.353764253887
1963-09-23,-0.5,-0.09,-0.2,0.07,0.16,0.01,-0.08,0.277779449257
1963-09-24,0.35,-0.33,0.12,-0.06,0.07,0.01,0.27,-0.05426331033389999
1963-09-25,-0.58,-0.26,-0.08,-0.42,0.16,0.01,-0.19,0.320092603905
1963-09-26,-0.82,0.48,-0.35,-0.04,0.29,0.01,-0.47,0.22495040284099999
1963-09-27,-0.18,0.27,-0.22,0.19,-0.08,0.01,-0.19,-0.26957341069
1963-09-30,-0.6,0.19,0.1,0.2,-0.04,0.01,-0.56,0.0214110877231
1963-10-01,0.65,-0.2,0.24,-0.04,-0.14,0.01,0.36,-0.1519193414
1963-10-02,0.1,-0.13,0.0,0.03,-0.12,0.01,0.13,-0.110541179006
1963-10-03,0.66,-0.29,0.85,-0.35,0.16,0.01,0.21,-0.42133344437399994
1963-10-04,0.0,0.03,0.05,0.0,0.16,0.01,0.05,-0.0127695428423
1963-10-07,-0.23,0.18,-0.01,-0.19,-0.03,0.01,-0.07,0.184684129028
1963-10-08,-0.14,0.18,0.27,-0.04,-0.22,0.01,-0.09,-0.09387379733949999
1963-10-09,-0.61,0.15,-0.07,-0.01,0.2,0.01,-0.51,0.52048947972
1963-10-10,0.08,-0.03,0.14,0.06,-0.09,0.01,0.11,-0.174799600746
1963-10-11,0.13,0.4,0.07,0.04,-0.04,0.01,0.05,-0.323093669222
1963-10-14,0.05,-0.01,0.08,0.1,-0.2,0.01,0.32,-0.0237728159944
1963-10-15,0.17,-0.3,0.14,0.02,0.02,0.01,0.36,0.00718051493625
1963-10-16,0.89,-0.34,0.28,0.17,-0.41,0.01,0.7,-0.736839384695
1963-10-17,0.14,0.1,-0.25,0.22,-0.02,0.01,0.02,-0.30401393304
1963-10-18,0.09,0.11,-0.23,0.2,-0.05,0.01,-0.08,-0.102766659957
1963-10-21,0.04,-0.22,-0.31,0.55,0.09,0.01,-0.03,0.060329331433000004
1963-10-22,-0.54,0.34,-0.46,0.28,-0.33,0.01,-0.11,0.021228354049700002
1963-10-23,0.03,-0.1,-0.06,0.11,-0.11,0.01,-0.03,-0.0564368907344
1963-10-24,0.35,-0.07,0.45,0.07,-0.14,0.01,0.4,-0.0820483100395
1963-10-25,0.85,-0.43,-0.87,0.64,-0.96,0.01,0.78,-0.226506967577
1963-10-28,0.41,-0.78,-0.29,0.7,-0.41,0.01,0.48,0.0133529776682
1963-10-29,-0.04,-0.29,-0.07,0.24,0.29,0.01,0.26,0.239454263
1963-10-30,-0.79,0.43,-0.06,-0.22,0.51,0.01,-0.41,0.18722196525
1963-10-31,0.21,-0.04,0.09,0.13,-0.32,0.01,0.08,-0.309818696185
1963-11-01,-0.18,0.25,0.2,-0.22,0.21,0.02,0.09,-0.00110225111115
1963-11-04,-0.43,0.08,0.37,-0.22,0.46,0.02,-0.34,0.153113658276
1963-11-06,-0.77,0.1,0.24,-0.11,0.51,0.02,-0.64,-0.0639756988884
1963-11-07,0.33,0.05,-0.03,-0.07,-0.23,0.02,0.11,-0.126882084764
1963-11-08,0.54,0.06,0.11,0.13,-0.15,0.02,0.23,-0.26356874523199997
1963-11-11,0.2,0.22,0.15,0.14,-0.08,0.02,0.3,-0.175770717143
1963-11-12,-0.37,0.25,-0.29,0.2,-0.17,0.02,-0.03,0.219358195409
1963-11-13,0.05,0.05,-0.08,0.05,-0.12,0.02,0.0,0.0642925894889
